"Date","Price","Open","High","Low","Vol.","Change"
"01/06/2025","9.76","9.90","10.03","9.74","63.84","0.40"
"01/07/2025","9.61","9.79","9.85","9.57","62.40","-1.61"
"01/08/2025","9.59","9.59","9.60","9.43","61.68","-0.20"
"01/10/2025","9.50","9.52","9.68","9.44","73.37","-0.92"
"01/13/2025","9.56","9.51","9.57","9.42","66.02","0.62"
"01/14/2025","9.63","9.62","9.66","9.53","45.42","0.72"
"01/15/2025","9.79","9.81","9.90","9.73","68.67","1.74"
"01/16/2025","9.85","9.75","9.90","9.73","45.77","0.60"
"01/17/2025","10.02","9.92","10.05","9.88","60.80","1.70"
"01/21/2025","10.26","10.14","10.28","10.08","65.67","2.46"
"01/22/2025","10.03","10.25","10.25","10.02","64.95","-2.29"
"01/23/2025","10.00","9.89","10.01","9.81","56.24","-0.31"
"01/24/2025","10.12","10.16","10.31","10.09","42.91","1.21"
"01/27/2025","10.22","9.95","10.26","9.94","73.08","0.95"
"01/28/2025","9.92","10.07","10.07","9.76","92.18","-2.89"
"01/29/2025","10.05","9.94","10.13","9.87","69.99","1.29"
"01/30/2025","10.00","10.10","10.23","9.90","69.66","-0.49"
"01/31/2025","9.92","10.01","10.19","9.83","103.73","-0.79"
"02/03/2025","9.73","9.57","9.90","9.45","131.43","-1.88"
"02/04/2025","10.16","9.94","10.16","9.90","68.72","4.38"
"02/05/2025","9.85","10.00","10.15","9.80","124.19","-3.04"
"02/06/2025","9.11","9.34","9.49","9.11","222.76","-7.49"
"02/07/2025","9.09","9.18","9.20","9.03","140.85","-0.22"
"02/10/2025","9.09","9.10","9.15","8.98","72.17","0.00"
"02/11/2025","9.06","9.06","9.11","9.02","54.84","-0.32"
"02/12/2025","9.08","9.02","9.14","8.96","67.34","0.22"
"02/13/2025","9.20","9.14","9.26","9.09","72.06","1.30"
"02/14/2025","9.33","9.28","9.36","9.24","53.78","1.39"
"02/18/2025","9.29","9.32","9.35","9.23","62.18","-0.43"
"02/19/2025","9.34","9.27","9.39","9.21","50.19","0.54"
"02/20/2025","9.39","9.33","9.40","9.28","39.79","0.54"
"02/21/2025","9.28","9.38","9.41","9.23","58.44","-1.17"
"02/24/2025","9.35","9.31","9.40","9.21","72.56","0.75"
"02/25/2025","9.42","9.36","9.49","9.31","88.88","0.75"
"02/26/2025","9.47","9.46","9.62","9.44","87.95","0.53"
"02/27/2025","9.29","9.44","9.53","9.29","70.52","-1.90"
"02/28/2025","9.55","9.31","9.69","9.31","137.99","2.80"
"03/03/2025","9.39","9.71","9.82","9.32","154.44","-1.68"
"03/04/2025","9.12","9.23","9.27","9.06","167.50","-2.88"
"03/05/2025","9.65","9.26","9.67","9.20","157.77","5.81"
"03/06/2025","9.61","9.52","9.72","9.42","136.68","-0.41"
"03/07/2025","9.90","9.54","9.96","9.51","150.64","3.02"
"03/10/2025","9.96","9.77","10.14","9.77","167.18","0.61"
"03/11/2025","9.69","9.92","9.96","9.49","210.13","-2.71"
"03/12/2025","9.59","9.70","9.71","9.46","129.99","-1.03"
"03/13/2025","9.53","9.57","9.95","9.50","137.75","-0.63"
"03/14/2025","9.73","9.66","9.79","9.64","91.31","2.10"
"03/17/2025","9.92","9.74","9.98","9.74","98.58","1.95"
